window_start,window_end,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-10-15 00:20:00+00:00,2025-10-29 06:40:00+00:00,9.593904820915288e-07,-7.823743542338612e-06,7.215947368589092e-08,1820570.1475183454,0.8564829659318638,0.26235756946195,499
2025-10-26 01:50:00+00:00,2025-10-31 04:00:00+00:00,-5.868102505389852e-07,-0.0001410950189192357,8.966484511080214e-08,2451482.2090641134,0.7990400000000001,0.07919357963419983,500
2025-10-29 07:00:00+00:00,2025-11-01 23:10:00+00:00,-1.703415645984704e-09,-0.000369743519090966,3.0452778183164704e-08,2990759.1923373337,0.6926500000000001,6.282830658224403e-06,500
2025-10-31 04:10:00+00:00,2025-11-03 17:50:00+00:00,1.1176792762845953e-07,-0.00011592218849156535,9.192510555552372e-09,2891575.919882457,0.66436,0.2289006868827822,500
2025-11-01 23:20:00+00:00,2025-11-05 14:00:00+00:00,4.386174460805814e-07,-7.728762042576315e-06,1.5500271801704317e-08,2864873.2073976537,0.67328,0.616552326335407,500
2025-11-03 18:00:00+00:00,2025-11-07 12:50:00+00:00,2.315954198944356e-07,-6.693579142093383e-05,1.4768425800309361e-08,2851231.0349760465,0.68177,0.3305719936415597,500
2025-11-05 14:10:00+00:00,2025-11-10 22:20:00+00:00,1.6595150210810517e-07,-0.00017059341081751908,1.1516080852088785e-08,2886576.7727636374,0.6967300000000001,0.29427775258596917,500
2025-11-07 13:00:00+00:00,2025-11-12 16:00:00+00:00,1.654239771473434e-07,-5.229855913768504e-05,7.55673334914879e-09,2958471.8739520633,0.7055499999999999,0.4903875335366564,500
2025-11-10 22:30:00+00:00,2025-11-14 16:20:00+00:00,2.861488205747311e-07,-0.0003176260292628423,1.38479144498299e-08,2958572.8123479206,0.63691,0.4616143549331342,500
2025-11-12 16:10:00+00:00,2025-11-17 03:50:00+00:00,2.237250665422392e-07,-0.00035359208367859456,1.5502055724549137e-08,3049562.9206424607,0.5176,0.2948987091124662,500
2025-11-14 16:30:00+00:00,2025-11-19 01:00:00+00:00,1.4693322454957565e-07,3.069530373113054e-05,1.5137095940185868e-08,3140531.243834593,0.46115,0.15909991441894555,500
2025-11-17 04:00:00+00:00,2025-11-20 18:40:00+00:00,1.672605944370201e-07,-3.073017889156095e-06,1.8428032807216832e-08,3033254.6823753654,0.42705999999999994,0.1419435985470335,500
